Road Code,Section Code,Road Name,Section Name,Direction,AVERAGE DAILY TRAFFIC - PCU,AVERAGE DAILY TRAFFIC - ADT,Private Vehicles,Trucks - Light,Trucks - Medium,Trucks - Heavy,Buses
B0001,010,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΣΤΡΟΒΟΛΟΣ - ΛΑΤΣΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,30266,20151,11426,3668,2619,2196,242
B0001,020,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΛΑΤΣΙΑ - ΒΙΟΜΗΧΑΝΙΚΗ ΔΑΛΙΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,15419,10265,5820,1868,1335,1119,123
B0001,030,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΒΙΟΜΗΧΑΝΙΚΗ ΔΑΛΙΟΥ - ΔΑΛΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,9791,6973,4044,1520,669,635,105
B0001,040,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΔΑΛΙ - ΜΟΣΦΙΛΩΤΗ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,6314,4272,2640,611,308,577,137
B0001,050,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΜΟΣΦΙΛΩΤΗ - ΣΤΑΥΡΟΒΟΥΝΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,3896,2601,1600,353,209,382,57
B0001,060,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΣΤΑΥΡΟΒΟΥΝΙ - ΚΟΦΙΝΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,3814,2706,1648,504,240,240,73
B0001,070,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΚΟΦΙΝΟΥ - ΖΥΓΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1678,1190,725,221,106,106,32
B0001,080,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΖΥΓΙ - ΠΑΡΕΚΚΛΗΣΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,4686,3140,1457,911,299,408,66
B0001,090,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΠΑΡΕΚΚΛΗΣΙΑ - ΓΕΡΜΑΣΟΓΕΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,40274,34840,19684,12439,1463,522,732
B0002,010,ΝΗΣΟΥ - ΛΑΡΝΑΚΑ,ΝΗΣΟΥ - ΔΑΛΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,12174,9279,4918,2913,1169,148,130
B0002,020,ΝΗΣΟΥ - ΛΑΡΝΑΚΑ,ΔΑΛΙ - ΑΘΗΑΙΝΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,4537,3719,2521,789,283,71,56
B0002,030,ΝΗΣΟΥ - ΛΑΡΝΑΚΑ,ΑΘΗΑΙΝΟΥ - ΑΡΑΔΙΠΠΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,904,742,508,153,55,14,13
B0003,010,ΛΑΡΝΑΚΑ - ΔΕΚΕΛΕΙΑ,ΛΑΡΝΑΚΑ - ΛΕΙΒΑΔΕΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,48113,40747,30861,6204,1362,921,1400
B0003,020,ΛΑΡΝΑΚΑ - ΔΕΚΕΛΕΙΑ,ΛΕΙΒΑΔΕΙΑ - ΚΟΤ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,34162,27296,17432,6431,1290,1071,1071
B0003,030,ΛΑΡΝΑΚΑ - ΔΕΚΕΛΕΙΑ,ΚΟΤ  - ΔΕΚΕΛΕΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,4988,3989,2549,941,187,156,156
B0004,010,ΛΑΡΝΑΚΑ - ΚΙΤΙ,ΛΑΡΝΑΚΑ - ΑΕΡΟΔΡΟΜΙΟ,ΠΡΟΣ ΑΕΡΟΔΡΟΜΙΟ,13962,11407,8645,1484,544,361,373
B0004,010,ΛΑΡΝΑΚΑ - ΚΙΤΙ,ΛΑΡΝΑΚΑ - ΑΕΡΟΔΡΟΜΙΟ,ΠΡΟΣ ΛΑΡΝΑΚΑ,13962,11407,8645,1484,544,361,373
B0004,020,ΛΑΡΝΑΚΑ - ΚΙΤΙ,ΑΕΡΟΔΡΟΜΙΟ - ΔΡΟΜΟΛΑΞΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
B0004,030,ΛΑΡΝΑΚΑ - ΚΙΤΙ,ΔΡΟΜΟΛΑΞΙΑ - ΚΙΤΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,18241,15034,11143,2288,864,342,398
B0006,010,ΛΕΜΕΣΟΣ - ΠΑΦΟΣ,ΒΙΟΜΗΧΑΝΙΚΗ ΛΕΜΕΣΟΥ - ΥΨΩΝΑΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,17417,13346,7366,3944,1044,488,504
B0006,020,ΛΕΜΕΣΟΣ - ΠΑΦΟΣ,ΥΨΩΝΑΣ - ΚΟΛΟΣΣΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,16398,12564,7061,3586,1258,374,285
B0006,030,ΛΕΜΕΣΟΣ - ΠΑΦΟΣ,ΚΟΛΟΣΣΙ - ΕΡΗΜΗ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,14456,11075,6223,3162,1110,329,251
B0006,040,ΛΕΜΕΣΟΣ - ΠΑΦΟΣ,ΕΡΗΜΗ - Μ1,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,15184,11626,6533,3313,1163,349,268
B0006,050,ΛΕΜΕΣΟΣ - ΠΑΦΟΣ,Μ1 - ΒΑΣΗ ΕΠΙΣΚΟΠΗΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,12355,9460,5316,2697,946,284,218
B0006,060,ΛΕΜΕΣΟΣ - ΠΑΦΟΣ,ΒΑΣΗ ΕΠΙΣΚΟΠΗ - ΑΥΔΗΜΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,8336,6383,3587,1819,638,191,147
B0006,070,ΛΕΜΕΣΟΣ - ΠΑΦΟΣ,ΑΥΔΗΜΟΥ - ΠΙΣΣΟΥΡΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1505,1247,815,303,42,16,71
B0006,080,ΛΕΜΕΣΟΣ - ΠΑΦΟΣ,ΠΙΣΣΟΥΡΙ - ΚΟΥΚΛΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2951,2488,1646,611,85,43,103
B0006,090,ΛΕΜΕΣΟΣ - ΠΑΦΟΣ,ΚΟΥΚΛΙΑ - ΤΙΜΗ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,4120,3578,2412,895,125,43,103
B0006,100,ΛΕΜΕΣΟΣ - ΠΑΦΟΣ,ΤΙΜΗ - ΓΕΡΟΣΚΗΠΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,21203,15470,10249,2355,1242,1334,291
B0006,110,ΛΕΜΕΣΟΣ - ΠΑΦΟΣ,ΓΕΡΟΣΚΗΠΟΥ - ΠΑΦΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,37164,27111,17956,4128,2178,2340,508
B0007,010,ΠΑΦΟΣ - ΠΟΛΙΣ,ΠΑΦΟΣ - ΜΕΣΟΓΗ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,24009,17831,9194,5548,2211,378,499
B0007,020,ΠΑΦΟΣ - ΠΟΛΙΣ,ΜΕΣΟΓΗ - ΤΣΑΔΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,14926,10654,4887,3630,1342,515,279
B0007,030,ΠΑΦΟΣ - ΠΟΛΙΣ,ΤΣΑΔΑ - ΣΤΡΟΥΜΠΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,13280,9543,4541,3134,805,721,342
B0007,040,ΠΑΦΟΣ - ΠΟΛΙΣ,ΣΤΡΟΥΜΠΙ - ΛΟΥΚΡΟΥΝΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,9464,6801,3235,2235,572,515,244
B0007,050,ΠΑΦΟΣ - ΠΟΛΙΣ,ΛΟΥΚΡΟΥΝΟΥ - ΣΤΕΝΗ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,8088,5760,2724,1873,502,449,213
B0007,060,ΠΑΦΟΣ - ΠΟΛΙΣ,ΣΤΕΝΗ - ΠΟΛΙΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,7215,5138,2430,1670,447,401,190
B0008,010,ΛΕΜΕΣΟΣ - ΤΡΟΟΔΟΣ,ΛΕΜΕΣΟΣ - ΠΟΛΕΜΙΔΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,34076,26597,19342,3515,2213,1000,527
B0008,020,ΛΕΜΕΣΟΣ - ΤΡΟΟΔΟΣ,ΠΟΛΕΜΙΔΙΑ - ΔΡΟΜΟΣ ΛΙΜΝΑΤΗ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,29955,23374,16994,3089,1947,879,465
B0008,030,ΛΕΜΕΣΟΣ - ΤΡΟΟΔΟΣ,ΔΡΟΜΟΣ ΛΙΜΝΑΤΗ - ΑΛΑΣΣΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,29223,22804,16579,3015,1899,859,451
B0008,040,ΛΕΜΕΣΟΣ - ΤΡΟΟΔΟΣ,ΑΛΑΣΣΑ - ΣΑΙΤΤΑΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,22279,17387,12643,2299,1448,654,344
B0008,050,ΛΕΜΕΣΟΣ - ΤΡΟΟΔΟΣ,ΣΑΙΤΤΑΣ - ΠΛΑΤΡΕΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,5336,4208,3150,494,334,150,80
B0008,060,ΛΕΜΕΣΟΣ - ΤΡΟΟΔΟΣ,ΠΛΑΤΡΕΣ - ΤΡΟΟΔΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2326,2021,1705,163,59,23,71
B0009,010,ΛΕΥΚΩΣΙΑ - ΤΡΟΟΔΟΣ,ΑΝΘΟΥΠΟΛΗ - ΑΓΙΟΙ ΤΡΙΜΙΘΙΑΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,8024,6269,4381,1010,502,238,138
B0009,020,ΛΕΥΚΩΣΙΑ - ΤΡΟΟΔΟΣ,"ΑΓΙΟΙ ΤΡΙΜΙΘΙΑΣ - 
ΚΟΚΚΙΝΟΤΡΙΜΙΘΙΑ",ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,5945,4712,3336,759,377,178,62
B0009,030,ΛΕΥΚΩΣΙΑ - ΤΡΟΟΔΟΣ,ΚΟΚΚΙΝΟΤΡΙΜΙΘΙΑ - ΑΚΑΚΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,19299,14913,10379,2341,1194,566,432
B0009,040,ΛΕΥΚΩΣΙΑ - ΤΡΟΟΔΟΣ,ΑΚΑΚΙ - ΑΣΤΡΟΜΕΡΙΤΗΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,14947,11551,8039,1813,924,439,335
B0009,050,ΛΕΥΚΩΣΙΑ - ΤΡΟΟΔΟΣ,ΑΣΤΡΟΜΕΡΙΤΗΣ - ΦΛΑΣΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,9257,7279,5146,1143,611,277,101
B0009,060,ΛΕΥΚΩΣΙΑ - ΤΡΟΟΔΟΣ,ΦΛΑΣΟΥ - ΚΑΚΟΠΕΤΡΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,8262,6414,4534,955,590,244,90
B0009,070,ΛΕΥΚΩΣΙΑ - ΤΡΟΟΔΟΣ,ΚΑΚΟΠΕΤΡΙΑ - ΚΑΡΒΟΥΝΑΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,5386,3936,2778,433,362,308,55
B0009,080,ΛΕΥΚΩΣΙΑ - ΤΡΟΟΔΟΣ,ΚΑΡΒΟΥΝΑΣ - ΤΡΟΟΔΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2318,1694,1194,187,156,132,24
Β0022,010,ΝΟΤΙΟΣ ΠΑΡΑΚΑΜΠΤΗΡΙΟΣ ΛΕΥΚΩΣΙΑΣ,ΠΑΝΕΠΙΣΤΗΜΙΟ - ΝΟΣΟΚΟΜΕΙΟ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,14164,11066,7525,1992,221,1251,77
Β0022,020,"ΝΟΤΙΟΣ ΠΑΡΑΚΑΜΠΤΗΡΙΟΣ 
ΛΕΥΚΩΣΙΑΣ",ΝΟΣΟΚΟΜΕΙΟ - Α1,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,35411,27665,18812,4980,553,3126,193
Β0022,030,"ΝΟΤΙΟΣ ΠΑΡΑΚΑΜΠΤΗΡΙΟΣ 
ΛΕΥΚΩΣΙΑΣ",Α1 - ΙΩΣΗΦ ΧΑΤΖΗΙΩΣΗΦ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,41017,32044,21790,5767,641,3621,225
Β0022,040,"ΝΟΤΙΟΣ ΠΑΡΑΚΑΜΠΤΗΡΙΟΣ 
ΛΕΥΚΩΣΙΑΣ",ΙΩΣΗΦ ΧΑΤΖΗΙΩΣΗΦ - ΤΣΕΡΙΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,45325,35411,24080,6374,708,4001,248
Β0022,050,"ΝΟΤΙΟΣ ΠΑΡΑΚΑΜΠΤΗΡΙΟΣ 
ΛΕΥΚΩΣΙΑΣ",ΤΣΕΡΙΟΥ - ΣΤΡΟΒΟΛΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,50993,39837,27089,7170,797,4502,279
Β0022,060,"ΝΟΤΙΟΣ ΠΑΡΑΚΑΜΠΤΗΡΙΟΣ 
ΛΕΥΚΩΣΙΑΣ",ΣΤΡΟΒΟΛΟΥ - Α9,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,28329,22132,15050,3984,443,2501,155
E0101,010,ΣΤΡΟΒΟΛΟΣ - ΑΘΑΛΑΣΣΑ,ΣΤΡΟΒΟΛΟΣ - ΑΘΑΛΑΣΣΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,4762,3704,2286,889,359,156,14
E0102,010,ΝΗΣΟΥ - ΚΟΤΣΙΑΤΗΣ,ΝΗΣΟΥ - ΚΟΤΣΙΑΤΗΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,6909,4840,2918,887,515,488,32
E0103,010,ΑΓΙΑ ΒΑΡΒΑΡΑ - ΛΥΘΡΟΔΟΝΤΑΣ,ΑΓΙΑ ΒΑΡΒΑΡΑ - ΜΑΘΙΑΤΗΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,3736,2460,1318,504,504,89,46
E0103,020,ΑΓΙΑ ΒΑΡΒΑΡΑ - ΛΥΘΡΟΔΟΝΤΑΣ,ΜΑΘΙΑΤΗΣ - ΛΥΘΡΟΔΟΝΤΑΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,3509,2470,1148,802,349,132,39
E0104,010,ΜΟΣΦΙΛΩΤΗ - ΚΑΛΟ ΧΩΡΙΟ,ΜΟΣΦΙΛΩΤΗ - ΠΥΡΓΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,5189,3870,2608,602,260,307,93
E0104,020,ΜΟΣΦΙΛΩΤΗ - ΚΑΛΟ ΧΩΡΙΟ,ΠΥΡΓΑ - ΚΑΛΟ ΧΩΡΙΟ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,4433,3275,2240,456,228,308,43
E0105,010,ΣΚΑΡΙΝΟΥ - ΛΕΥΚΑΡΑ,ΣΚΑΡΙΝΟΥ - ΛΕΥΚΑΡΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2573,1975,1434,243,116,34,148
E0106,010,ΖΥΓΙ - ΚΑΛΑΒΑΣΟΣ,ΖΥΓΙ - ΚΑΛΑΒΑΣΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2614,1706,758,495,324,48,82
E0107,010,ΖΥΓΙ - ΒΑΣΙΛΙΚΟ,ΖΥΓΙ - ΒΑΣΙΛΙΚΟ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2537,1587,912,199,73,368,34
E0108,010,ΜΟΝΗ - ΑΣΓΑΤΑ,ΜΟΝΗ - ΜΟΝΑΓΡΟΥΛΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,4062,2514,1394,346,214,528,32
E0108,020,ΜΟΝΗ - ΑΣΓΑΤΑ,ΜΟΝΑΓΡΟΥΛΙ - ΑΣΓΑΤΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2979,1707,855,217,119,504,14
E0109,010,ΛΕΜΕΣΟΣ - ΕΦΤΑΓΩΝΙΑ,ΛΕΜΕΣΟΣ - ΠΑΡΕΚΚΛΗΣΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,7175,4809,1738,1887,415,698,71
E0109,020,ΛΕΜΕΣΟΣ - ΕΦΤΑΓΩΝΙΑ,ΠΑΡΕΚΚΛΗΣΙΑ - ΕΡΓΟΤΑΞΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,3398,2283,822,904,193,331,34
E0109,030,ΛΕΜΕΣΟΣ - ΕΦΤΑΓΩΝΙΑ,ΕΡΓΟΤΑΞΙΑ - ΚΕΛΛΑΚΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1666,1384,1032,211,84,34,23
E0109,040,ΛΕΜΕΣΟΣ - ΕΦΤΑΓΩΝΙΑ,ΚΕΛΛΑΚΙ - ΕΦΤΑΓΩΝΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1362,1111,816,170,73,34,18
E0110,010,ΛΕΜΕΣΟΣ - ΑΓΡΟΣ,ΛΕΜΕΣΟΣ - ΠΑΛΩΔΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,14167,11554,8757,1490,855,323,128
E0110,020,ΛΕΜΕΣΟΣ - ΑΓΡΟΣ,ΠΑΛΩΔΙΑ - ΚΑΛΟ ΧΩΡΙΟ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,3398,2283,822,904,193,331,34
E0110,030,ΛΕΜΕΣΟΣ - ΑΓΡΟΣ,ΚΑΛΟ ΧΩΡΙΟ - ΖΩΟΠΗΓΗ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1660,1381,1032,211,82,34,23
E0110,040,ΛΕΜΕΣΟΣ - ΑΓΡΟΣ,ΖΩΟΠΗΓΗ - ΑΓΡΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1355,1109,816,170,71,34,18
E0119,010,ΑΓΛΑΝΤΖΙΑ - ΓΕΡΙ,ΑΓΛΑΝΤΖΙΑ - ΑΘΑΛΑΣΣΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,13497,11605,8269,2390,773,91,82
E0119,020,ΑΓΛΑΝΤΖΙΑ - ΓΕΡΙ,ΑΘΑΛΑΣΣΑ - ΓΕΡΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,9553,7916,4380,2717,403,378,36
E0120,010,Α1 - ΤΣΕΡΙ,Α1 - ΤΣΕΡΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,8926,6254,3712,1206,709,615,11
E0127,010,ΠΟΤΑΜΟΣ ΓΕΡΜΑΣΟΓΕΙΑΣ - ΑΡΑΚΑΠΑΣ,ΠΟΤΑΜΟΣ ΓΕΡΜΑΣΟΓΕΙΑΣ- ΓΕΡΜΑΣΟΓΕΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,12723,10841,8172,1727,672,169,100
E0129,010,ΑΛΑΜΠΡΑ - ΛΥΜΠΙΑ,ΑΛΑΜΠΡΑ - ΛΥΜΠΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
E0131,010,ΑΓΙΟΣ ΑΘΑΝΑΣΙΟΣ - ΜΑΘΗΚΟΛΩΝΗ,ΑΓΙΟΣ ΑΘΑΝΑΣΙΟΣ - ΜΑΘΗΚΟΛΩΝΗ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
E0133,010,,ΣΤΑΘΜΟΣ ΧΟΙΡΟΚΟΙΤΙΑΣ - ΧΟΙΡΟΚΟΙΤΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2591,1989,1444,244,116,36,148
E0133,020,ΣΤΑΘΜΟΣ ΧΟΙΡΟΚΟΙΤΙΑΣ - ΟΡΑ,ΧΟΙΡΟΚΟΙΤΙΑ - ΟΡΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,960,672,470,59,25,89,30
E0135,010,"ΒΙΟΜΗΧΑΝΙΚΗ ΔΑΛΙΟΥ - 
ΑΓΙΟΣ ΣΩΖΟΜΕΝΟΣ",ΒΙΟΜΗΧΑΝΙΚΗ ΔΑΛΙΟΥ - ΑΓΙΟΣ ΣΩΖΟΜΕΝΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,10241,6774,3848,1192,948,765,21
E0142,010,Β8 - ΠΟΛΕΜΙΔΙΑ,Β8 - ΠΟΛΕΜΙΔΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
E0201,010,ΚΟΣΗ - ΑΘΗΕΝΟΥ,ΚΟΣΗ - ΑΘΗΕΝΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,4645,3635,1710,1420,376,85,43
E0301,010,ΛΑΡΝΑΚΑ - ΤΡΟΥΛΛΟΙ,ΛΑΡΝΑΚΑ - ΛΕΙΒΑΔΕΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,7294,6208,4359,1307,349,98,96
E0301,020,ΛΑΡΝΑΚΑ - ΤΡΟΥΛΛΟΙ,ΛΕΙΒΑΔΕΙΑ - ΤΡΟΥΛΛΟΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2205,1471,739,366,269,75,23
E0303,010,ΔΕΚΕΛΕΙΑ - ΑΧΝΑ,ΔΕΚΕΛΕΙΑ - ΞΥΛΟΤΥΜΠΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,9628,8021,4820,2397,416,228,160
E0303,020,ΔΕΚΕΛΕΙΑ - ΑΧΝΑ,ΞΥΛΟΤΥΜΠΟΥ - ΑΧΝΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,8187,6838,4118,2045,356,187,132
E0304,010,ΑΥΓΟΡΟΥ - ΠΑΡΑΛΙΜΝΙ,ΣΩΤΗΡΑ - ΠΑΡΑΛΙΜΝΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,10273,8762,4353,3653,383,295,78
E0305,010,ΞΥΛΟΦΑΓΟΥ - ΠΑΡΑΛΙΜΝΙ,ΞΥΛΟΦΑΓΟΥ - ΛΙΟΠΕΤΡΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,8929,7466,3791,2943,465,144,123
E0305,020,ΞΥΛΟΦΑΓΟΥ - ΠΑΡΑΛΙΜΝΙ,ΛΙΟΠΕΤΡΙ - ΦΡΕΝΑΡΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,7195,5791,2103,2986,378,253,71
E0305,030,ΞΥΛΟΦΑΓΟΥ - ΠΑΡΑΛΙΜΝΙ,ΦΡΕΝΑΡΟΣ - ΔΕΡΥΝΕΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,7289,6092,2966,2528,187,286,125
E0305,040,ΞΥΛΟΦΑΓΟΥ - ΠΑΡΑΛΙΜΝΙ,ΔΕΡΥΝΕΙΑ - ΠΑΡΑΛΙΜΝΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,13615,11818,7247,3674,521,253,124
E0306,010,ΑΓΙΑ ΝΑΠΑ - ΚΑΒΟ ΓΚΡΕΚΟ - ΠΑΡΑΛΙΜΝΙ,ΑΓΙΑ ΝΑΠΑ - ΚΑΒΟ ΓΚΡΕΚΟ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,9002,7976,5436,2028,221,181,111
E0306,020,ΑΓΙΑ ΝΑΠΑ - ΚΑΒΟ ΓΚΡΕΚΟ - ΠΑΡΑΛΙΜΝΙ,ΚΑΒΟ ΓΚΡΕΚΟ - ΠΑΡΑΛΙΜΝΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,8517,7543,5140,1916,210,172,105
E0307,010,ΠΑΡΑΜΑΟΥΝΤ - ΚΕΡΜΙΑ,ΠΑΡΑΜΑΟΥΝΤ - ΚΕΡΜΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
E0308,010,ΑΥΓΟΡΟΥ - ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,ΑΥΓΟΡΟΥ - ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,3591,2757,1991,349,319,91,7
E0309,010,ΑΓΙΑ ΝΑΠΑ - ΛΙΟΠΕΤΡΙ,ΑΓΙΑ ΝΑΠΑ - ΠΟΤΑΜΟΣ ΛΙΟΠΕΤΡΙΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,14755,12671,8156,3473,258,180,604
E0309,020,ΑΓΙΑ ΝΑΠΑ - ΛΙΟΠΕΤΡΙ,ΠΟΤΑΜΟΣ ΛΙΟΠΕΤΡΙΟΥ - ΛΙΟΠΕΤΡΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,4365,3536,1827,1294,152,203,60
E0310,010,ΟΡΜΗΔΕΙΑ - ΞΥΛΟΦΑΓΟΥ,ΟΡΜΗΔΕΙΑ - ΞΥΛΟΦΑΓΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2212,1841,903,752,108,52,25
